B2745;Traction Control Switch Circuit
C0010 C0019 C001C or C001D;Inlet Control/Outlet Control
C0051;Steering Wheel Angle Sensor
C006B;Stability System Active Too Long
C0186 C018B C0196 C019B C027E C0287;Lateral Acceleration/Longitudinal Acceleration/Yaw Rate Signals
"C0500 C0504 C0506-C0510 or C0512-
C0516";Wheel Speed Sensors
C052B C052D C052F C055B or C05AE;ABS Pump Motor
"C0552 C10C0 C10C4 or C1251 (Without
UGN)";Yaw Rate
C0555 C0558;Wheel Speed Sensor Incorrect Component Installed
C059B or C0560;Front Brake Pressure Sensor Missing Calibration
C0571 C0572 or C0574;Brake Master Cylinder Pressure Sensor 1 Circuit
C0575 C0576 or C0578;Left Rear Brake Pressure Sensor Circuit
C05A3 C05A4 or C10EE;"Wheel Speed Sensor Supply Circuit/Wheel Speed
Sensor Frequency"
C05AD;Brake Blending System Performance
C05B0 or C05B1;"ABS Front Hydraulic Circuit Leak Detected/ABS
Rear Hydraulic Circuit Leak Detected"
C05B2;"Steering Wheel Angle Sensor Signal - Yaw Rate
Sensor Signal Not Plausible"
C106A or C106B;"Pump Motor Relay Circuit Low/Pump Motor Relay
Circuit High"
C106D C106F or C1070;Valve Relay Circuit
C10AC;Brake System Calculated Component Overheat
C10EA;"Powertrain Control Module Indicated Requested
Torque"
C10EB;Engine Control Module Indicated Traction Control
C112B;Active Brake System Performance
C112F;Isolation Valve Performance
C1200;"Powertrain Sensed Brake Pedal Information Message
Counter Incorrect"
C1203;"Invalid Data Received From Integrated Chassis
Control Module"
C124C C124E or C1269;Wheel Speed Sensor Incorrect Mounting
C1259;"Powertrain Automatic Braking Request Message
Counter Incorrect"
C1268;"Accelerator Pedal Override Active Message Counter
Incorrect"
C1284 or C1285;"Brake Assist Information 1 Message Counter
Incorrect/Brake Assist Information 2 Message
Counter Incorrect"
C1286;Commanded Axle Torque Message Counter Incorrect
C1287;"Regenerative Braking Axle Torque Achieved
Message Counter Incorrect"
C1288;"Autonomous Braking Accelerator Actual Position
Status Message Counter Incorrect"
C1289;"Charging System Park Brake Autonomous Apply
Request Message Counter Incorrect"
C1445;"System Disabled Information Stored Temperature
High"
C144B;Electronic Control Unit Software
C158F or C1590 C1592;"Traction Control Prime Solenoid Valve
Circuits/Traction Control Isolation Solenoid Valve
Circuits"
C1594;"Adaptive Cruise Control Braking Request -
Accelerator Pedal Position Not Plausible"
P0560 P0562 or P0563;System Voltage
P05FF;"Brake Pressure Sensor and Brake Pedal Position
Sensor Correlation"
P0601 P0604 P0606 P060B or P062F;Control Module (Electronic Brake Control Module)
P0856;Traction Control Torque Request Circuit
P15F8;"Automatic Braking Engine Torque Request Signal
Message Counter Incorrect"
P15FD;Wheel Speed Sensor Message Sequence Incorrect
P1B12;"Driver Intended Braking Torque Signal Message
Counter Incorrect"
P215A;Vehicle Speed-Wheel Speed Correlation
P2299;"Brake Pedal Position/Accelerator Pedal Position
Incompatible"
P0658 or P0659;Actuator High Control Circuit Group 1 Voltage
P0711 P0713;Transmission Fluid Temperature Sensor
P0721;Output Speed Sensor Performance
P077B P077D;Output Speed Sensor Circuit
P079A;Transmission Clutch 1 Slip Detected
P079B;Transmission Clutch 2 Slip Detected
P079C;Transmission Clutch 3 Slip Detected
P07A3;Transmission Clutch 1 Stuck On
P07A5;Transmission Clutch 2 Stuck On
P07A7;Transmission Clutch 3 Stuck On
P0960 P0962 or P0963;"Transmission Control Solenoid Valve 1 Control
Circuit"
P0964 P0966 P0968 P0970 P0971 P2718;"Transmission Control Solenoid Valve 2 Control
Circuit/Transmission Control Solenoid Valve 3
Control Circuit/Transmission Control Solenoid Valve
4 Control Circuit/Transmission Control Solenoid
Valve 5 Control Circuit"
P2720 P2721 P2727 P2729 or P2730;"Transmission Control Solenoid Valve 2 Control
Circuit/Transmission Control Solenoid Valve 3
Control Circuit/Transmission Control Solenoid Valve
4 Control Circuit/Transmission Control Solenoid
Valve 5 Control Circuit"
P152A or P152D;"Regenerative Braking Control Switch 1
Circuit/Regenerative Braking Control Switch 1 and 2
Circuit"
P152C;"Regenerative Braking Control Switch Signal
Message Counter Incorrect"
P16F7;"Control Module Pressure Control Solenoid
Command Incorrect"
P179C;Transmission Clutch 1 Minor Slip Detected
P179D;Transmission Clutch 2 Minor Slip Detected
P1824 P182A P182F P1838-P1841;Internal Mode Switch
P18B5-P18BA P18BC P18BF P18C0 P18C2;Internal Mode Switch
or P18C3;Internal Mode Switch
